[INFO ] [2022-07-10 22:19:04,989] Step 1 - click on My Account Link
[INFO ] [2022-07-10 22:19:06,213] Step 2 - input empty to Email Textbox
[INFO ] [2022-07-10 22:19:06,280] Step 3 - input empty to Password Textbox
[INFO ] [2022-07-10 22:19:06,338] Step 4 - click on Login button
[INFO ] [2022-07-10 22:19:06,589] Step 5 - Verify Error message at email textbox when empty
[INFO ] [2022-07-10 22:19:06,636] --------------Passed---------------
[INFO ] [2022-07-10 22:19:06,636] Step 6 - Verify Error message at password textbox when empty
[INFO ] [2022-07-10 22:19:06,665] --------------Passed---------------
[INFO ] [2022-07-10 22:19:06,676] Step 1 - click on My Account Link
[INFO ] [2022-07-10 22:19:07,830] Step 2 - input invalid email to email textbox
[INFO ] [2022-07-10 22:19:07,883] Step 3 - input valid password to password textbox
[INFO ] [2022-07-10 22:19:07,957] Step 4 - click on Login button
[INFO ] [2022-07-10 22:19:08,207] Step 5 - Verify error message when inputting invalid email
[INFO ] [2022-07-10 22:19:08,242] --------------Passed---------------
[INFO ] [2022-07-10 22:19:08,247] Step 1 - click on My Account Link
[INFO ] [2022-07-10 22:19:09,314] Step 2 - input valid mail to email textbox
[INFO ] [2022-07-10 22:19:09,389] Step 3 - input less-than-6-character password into password textbox
[INFO ] [2022-07-10 22:19:09,466] Step 4 - click on Login button
[INFO ] [2022-07-10 22:19:09,701] Step 5 - Verify error message when inputting less-than-6-character password
[INFO ] [2022-07-10 22:19:09,735] --------------Passed---------------
[INFO ] [2022-07-10 22:19:09,739] Step 1 - click on My Account Link
[INFO ] [2022-07-10 22:19:10,915] Step 2 - click on Create new account button
[INFO ] [2022-07-10 22:19:11,739] Step 3 - input to First name textbox withLe
[INFO ] [2022-07-10 22:19:11,784] Step 4 - input to Last name textbox withPhat
[INFO ] [2022-07-10 22:19:11,879] Step 5 - input to Email adress textbox withthanhphat665655@gmail.com
[INFO ] [2022-07-10 22:19:11,906] Step 6 - input to password textbox
[INFO ] [2022-07-10 22:19:11,941] Step 7 - input to confirm password textbox
[INFO ] [2022-07-10 22:19:11,974] Step 8 - click on Register button
[INFO ] [2022-07-10 22:19:13,482] Step 9 - Verify success message when register successfully
[INFO ] [2022-07-10 22:19:13,514] --------------Passed---------------
[INFO ] [2022-07-10 22:19:13,514] Step 10 - Verify Dashboard title
[INFO ] [2022-07-10 22:19:13,525] --------------Passed---------------
[INFO ] [2022-07-10 22:19:13,526] Step 11 - Verify Welcome message
[INFO ] [2022-07-10 22:19:13,533] --------------Passed---------------
[INFO ] [2022-07-10 22:19:13,533] Step 12 - Click on Acount button
[INFO ] [2022-07-10 22:19:13,748] Step 13 - Click on Logout button
[INFO ] [2022-07-10 22:19:14,853] Step 13 - Verify Homepage image
[INFO ] [2022-07-10 22:19:20,439] --------------Passed---------------
[INFO ] [2022-07-10 22:19:23,229] --------------Passed---------------
[INFO ] [2022-07-10 22:19:26,090] --------------Passed---------------
[INFO ] [2022-07-10 22:19:31,428] --------------Passed---------------
[INFO ] [2022-07-10 22:19:31,443] --------------Passed---------------
[INFO ] [2022-07-10 22:19:31,473] --------------Passed---------------
[INFO ] [2022-07-10 22:19:31,489] --------------Passed---------------
[INFO ] [2022-07-10 22:19:39,147] --------------Passed---------------
[INFO ] [2022-07-11 21:52:52,191] Login - Step 1: Click on My Account Link
[INFO ] [2022-07-11 21:52:53,591] Login - Step 2: Input empty to Email Textbox
[INFO ] [2022-07-11 21:52:53,655] Login - Step 3: Input empty to Password Textbox
[INFO ] [2022-07-11 21:52:53,707] Login - Step 4: Click on Login button
[INFO ] [2022-07-11 21:52:53,942] Login - Step 5: Verify Error message at email textbox when empty
[INFO ] [2022-07-11 21:52:53,992] --------------Passed---------------
[INFO ] [2022-07-11 21:52:53,992] Login - Step 6: Verify Error message at password textbox when empty
[INFO ] [2022-07-11 21:52:54,051] --------------Passed---------------
[INFO ] [2022-07-11 21:52:54,060] Login - Step 1: Click on My Account Link
[INFO ] [2022-07-11 21:52:55,168] Login - Step 2: Input invalid email to email textbox
[INFO ] [2022-07-11 21:52:55,222] Login - Step 3: Input valid password to password textbox
[INFO ] [2022-07-11 21:52:55,277] Login - Step 4: Click on Login button
[INFO ] [2022-07-11 21:52:55,519] Login - Step 5: Verify error message when inputting invalid email
[INFO ] [2022-07-11 21:52:55,563] --------------Passed---------------
[INFO ] [2022-07-11 21:52:55,568] Login - Step 1: Click on My Account Link
[INFO ] [2022-07-11 21:52:56,679] Login - Step 2: Input valid mail to email textbox
[INFO ] [2022-07-11 21:52:56,729] Login - Step 3: Input less-than-6-character password into password textbox
[INFO ] [2022-07-11 21:52:56,803] Login - Step 4: Click on Login button
[INFO ] [2022-07-11 21:52:57,043] Login - Step 5: Verify error message when inputting less-than-6-character password
[INFO ] [2022-07-11 21:52:57,079] --------------Passed---------------
[INFO ] [2022-07-11 21:52:57,084] Create New Account - Step 1: Click on My Account Link
[INFO ] [2022-07-11 21:52:58,401] Create New Account - Step 2: Click on Create new account button
[INFO ] [2022-07-11 21:52:59,221] Create New Account - Step 3: Input to First name textbox withLe
[INFO ] [2022-07-11 21:52:59,257] Create New Account - Step 4: Input to Last name textbox withPhat
[INFO ] [2022-07-11 21:52:59,297] Create New Account - Step 5: Input to Email adress textbox withthanhphat687263@gmail.com
[INFO ] [2022-07-11 21:52:59,318] Create New Account - Step 6: Input to password textbox
[INFO ] [2022-07-11 21:52:59,343] Create New Account - Step 7: Input to confirm password textbox
[INFO ] [2022-07-11 21:52:59,383] Create New Account - Step 8: Click on Register button
[INFO ] [2022-07-11 21:53:01,196] Create New Account - Step 9: Verify success message when register successfully
[INFO ] [2022-07-11 21:53:01,238] --------------Passed---------------
[INFO ] [2022-07-11 21:53:01,238] Create New Account - Step 10: Verify Dashboard title
[INFO ] [2022-07-11 21:53:01,253] --------------Passed---------------
[INFO ] [2022-07-11 21:53:01,253] Create New Account - Step 11: Verify Welcome message
[INFO ] [2022-07-11 21:53:01,262] --------------Passed---------------
[INFO ] [2022-07-11 21:53:01,271] Create New Account - Step 12: Click on Acount button on the header
[INFO ] [2022-07-11 21:53:01,514] Create New Account - Step 13: Click on Logout button
[INFO ] [2022-07-11 21:53:02,658] Create New Account - Step 14: Verify Homepage image
[INFO ] [2022-07-11 21:53:08,491] --------------Passed---------------
[INFO ] [2022-07-11 21:53:08,495] Login - Step 1: Click on My Account Link
[INFO ] [2022-07-11 21:53:10,065] Login - Step 2: Input incorrect email into email textbox
[INFO ] [2022-07-11 21:53:10,126] Login - Step 3: Input correct password into password textbox
[INFO ] [2022-07-11 21:53:10,167] Login - Step 4: Click on Login button
[INFO ] [2022-07-11 21:53:11,900] Login - Step 5: Verify error message when inputting incorrect email
[INFO ] [2022-07-11 21:53:11,947] --------------Passed---------------
[INFO ] [2022-07-11 21:53:11,953] Login - Step 1: Click on My Account Link
[INFO ] [2022-07-11 21:53:13,298] Login - Step 2: Input correct email into email textbox
[INFO ] [2022-07-11 21:53:13,366] Login - Step 3: Input incorrect password into password textbox
[INFO ] [2022-07-11 21:53:13,398] Login - Step 4: Click on Login button
[INFO ] [2022-07-11 21:53:13,624] Login - Step 5: Verify error message when inputting incorrect password
[INFO ] [2022-07-11 21:53:43,720] Login - Step 1: Click on My Account Link
[INFO ] [2022-07-11 21:53:45,249] Login - Step 2: Input correct email into email textbox
[INFO ] [2022-07-11 21:53:45,300] Login - Step 3: Input correct password into password textbox
[INFO ] [2022-07-11 21:53:45,347] Login - Step 4: Click on Login button
[INFO ] [2022-07-11 21:53:49,856] Login - Step 5: Verify Dashboard title
[INFO ] [2022-07-11 21:53:49,868] --------------Passed---------------
[INFO ] [2022-07-11 21:53:49,869] Login - Step 6: Verify Welcome message
[INFO ] [2022-07-11 21:53:49,881] --------------Passed---------------
[INFO ] [2022-07-11 21:53:49,881] Login - Step 7: Verify Contact information
[INFO ] [2022-07-11 21:53:49,892] --------------Passed---------------
[INFO ] [2022-07-11 21:53:49,901] --------------Passed---------------
[INFO ] [2022-07-11 21:53:49,901] Login - Step 8: Click on Acount button on the header
[INFO ] [2022-07-11 21:53:50,127] Login - Step 9: Click on Logout button
[INFO ] [2022-07-11 21:53:51,428] Login - Step 1: Click on My Account Link
[INFO ] [2022-07-11 21:53:52,564] Login - Step 2: Input correct email into email textbox
[INFO ] [2022-07-11 21:53:52,605] Login - Step 3: Input correct password into password textbox
[INFO ] [2022-07-11 21:53:52,649] Login - Step 4: Click on Login button
[INFO ] [2022-07-11 21:53:53,899] Dashboard - Step 1: Click on Account Information
[INFO ] [2022-07-11 21:53:54,842] Account information - Step 1: Edit first name
[INFO ] [2022-07-11 21:53:54,881] Account information - Step 2: Edit last name
[INFO ] [2022-07-11 21:53:54,907] Account information - Step 3: Input current password
[INFO ] [2022-07-11 21:53:54,964] Account information - Step 4: Click on Save button
[INFO ] [2022-07-11 21:53:56,355] Account information - Step 5: Verify success message
[INFO ] [2022-07-11 21:53:56,368] --------------Passed---------------
[INFO ] [2022-07-11 21:56:54,301] Login - Step 1: Click on My Account Link
[INFO ] [2022-07-11 21:56:55,637] Login - Step 2: Input empty to Email Textbox
[INFO ] [2022-07-11 21:56:55,704] Login - Step 3: Input empty to Password Textbox
[INFO ] [2022-07-11 21:56:55,773] Login - Step 4: Click on Login button
[INFO ] [2022-07-11 21:56:56,040] Login - Step 5: Verify Error message at email textbox when empty
[INFO ] [2022-07-11 21:56:56,128] --------------Passed---------------
[INFO ] [2022-07-11 21:56:56,128] Login - Step 6: Verify Error message at password textbox when empty
[INFO ] [2022-07-11 21:56:56,259] --------------Passed---------------
[INFO ] [2022-07-11 21:56:56,277] Login - Step 1: Click on My Account Link
[INFO ] [2022-07-11 21:56:57,527] Login - Step 2: Input invalid email to email textbox
[INFO ] [2022-07-11 21:56:57,578] Login - Step 3: Input valid password to password textbox
[INFO ] [2022-07-11 21:56:57,663] Login - Step 4: Click on Login button
[INFO ] [2022-07-11 21:56:57,907] Login - Step 5: Verify error message when inputting invalid email
[INFO ] [2022-07-11 21:56:57,947] --------------Passed---------------
[INFO ] [2022-07-11 21:56:57,952] Login - Step 1: Click on My Account Link
[INFO ] [2022-07-11 21:56:59,124] Login - Step 2: Input valid mail to email textbox
[INFO ] [2022-07-11 21:56:59,198] Login - Step 3: Input less-than-6-character password into password textbox
[INFO ] [2022-07-11 21:56:59,247] Login - Step 4: Click on Login button
[INFO ] [2022-07-11 21:56:59,969] Login - Step 5: Verify error message when inputting less-than-6-character password
[INFO ] [2022-07-11 21:57:00,005] --------------Passed---------------
[INFO ] [2022-07-11 21:57:00,011] Create New Account - Step 1: Click on My Account Link
[INFO ] [2022-07-11 21:57:01,396] Create New Account - Step 2: Click on Create new account button
[INFO ] [2022-07-11 21:57:02,695] Create New Account - Step 3: Input to First name textbox withLe
[INFO ] [2022-07-11 21:57:02,729] Create New Account - Step 4: Input to Last name textbox withPhat
[INFO ] [2022-07-11 21:57:02,790] Create New Account - Step 5: Input to Email adress textbox withthanhphat803394@gmail.com
[INFO ] [2022-07-11 21:57:02,814] Create New Account - Step 6: Input to password textbox
[INFO ] [2022-07-11 21:57:02,836] Create New Account - Step 7: Input to confirm password textbox
[INFO ] [2022-07-11 21:57:02,859] Create New Account - Step 8: Click on Register button
[INFO ] [2022-07-11 21:57:04,558] Create New Account - Step 9: Verify success message when register successfully
[INFO ] [2022-07-11 21:57:04,599] --------------Passed---------------
[INFO ] [2022-07-11 21:57:04,599] Create New Account - Step 10: Verify Dashboard title
[INFO ] [2022-07-11 21:57:04,612] --------------Passed---------------
[INFO ] [2022-07-11 21:57:04,612] Create New Account - Step 11: Verify Welcome message
[INFO ] [2022-07-11 21:57:04,621] --------------Passed---------------
[INFO ] [2022-07-11 21:57:04,621] Create New Account - Step 12: Click on Acount button on the header
[INFO ] [2022-07-11 21:57:05,340] Create New Account - Step 13: Click on Logout button
[INFO ] [2022-07-11 21:57:11,093] Create New Account - Step 14: Verify Homepage image
[INFO ] [2022-07-11 21:57:12,015] --------------Passed---------------
[INFO ] [2022-07-11 21:57:12,027] Login - Step 1: Click on My Account Link
[INFO ] [2022-07-11 21:59:51,177] Login - Step 2: Input incorrect email into email textbox
[INFO ] [2022-07-11 22:00:21,309] Login - Step 1: Click on My Account Link
[INFO ] [2022-07-11 22:00:51,618] Login - Step 1: Click on My Account Link
[INFO ] [2022-07-11 22:01:21,828] Login - Step 1: Click on My Account Link
[INFO ] [2022-07-11 22:13:46,298] Login - Step 1: Click on My Account Link
[INFO ] [2022-07-11 22:13:47,732] Login - Step 2: Input empty to Email Textbox
[INFO ] [2022-07-11 22:13:47,788] Login - Step 3: Input empty to Password Textbox
[INFO ] [2022-07-11 22:13:47,829] Login - Step 4: Click on Login button
[INFO ] [2022-07-11 22:13:48,551] Login - Step 5: Verify Error message at email textbox when empty
[INFO ] [2022-07-11 22:13:48,611] --------------Passed---------------
[INFO ] [2022-07-11 22:13:48,611] Login - Step 6: Verify Error message at password textbox when empty
[INFO ] [2022-07-11 22:13:48,649] --------------Passed---------------
[INFO ] [2022-07-11 22:13:48,658] Login - Step 1: Click on My Account Link
[INFO ] [2022-07-11 22:13:50,065] Login - Step 2: Input invalid email to email textbox
[INFO ] [2022-07-11 22:13:50,117] Login - Step 3: Input valid password to password textbox
[INFO ] [2022-07-11 22:13:50,189] Login - Step 4: Click on Login button
[INFO ] [2022-07-11 22:13:50,918] Login - Step 5: Verify error message when inputting invalid email
[INFO ] [2022-07-11 22:13:50,953] --------------Passed---------------
[INFO ] [2022-07-11 22:13:50,959] Login - Step 1: Click on My Account Link
[INFO ] [2022-07-11 22:13:52,392] Login - Step 2: Input valid mail to email textbox
[INFO ] [2022-07-11 22:13:52,472] Login - Step 3: Input less-than-6-character password into password textbox
[INFO ] [2022-07-11 22:13:52,549] Login - Step 4: Click on Login button
[INFO ] [2022-07-11 22:13:53,274] Login - Step 5: Verify error message when inputting less-than-6-character password
[INFO ] [2022-07-11 22:13:53,307] --------------Passed---------------
[INFO ] [2022-07-11 22:13:53,314] Create New Account - Step 1: Click on My Account Link
[INFO ] [2022-07-11 22:13:54,843] Create New Account - Step 2: Click on Create new account button
[INFO ] [2022-07-11 22:13:55,964] Create New Account - Step 3: Input to First name textbox withLe
[INFO ] [2022-07-11 22:13:56,005] Create New Account - Step 4: Input to Last name textbox withPhat
[INFO ] [2022-07-11 22:13:56,043] Create New Account - Step 5: Input to Email adress textbox withthanhphat848201@gmail.com
[INFO ] [2022-07-11 22:13:56,085] Create New Account - Step 6: Input to password textbox
[INFO ] [2022-07-11 22:13:56,117] Create New Account - Step 7: Input to confirm password textbox
[INFO ] [2022-07-11 22:13:56,137] Create New Account - Step 8: Click on Register button
[INFO ] [2022-07-11 22:13:57,772] Create New Account - Step 9: Verify success message when register successfully
[INFO ] [2022-07-11 22:13:57,803] --------------Passed---------------
[INFO ] [2022-07-11 22:13:57,803] Create New Account - Step 10: Verify Dashboard title
[INFO ] [2022-07-11 22:13:57,811] --------------Passed---------------
[INFO ] [2022-07-11 22:13:57,812] Create New Account - Step 11: Verify Welcome message
[INFO ] [2022-07-11 22:13:57,820] --------------Passed---------------
[INFO ] [2022-07-11 22:13:57,821] Create New Account - Step 12: Click on Acount button on the header
[INFO ] [2022-07-11 22:13:58,538] Create New Account - Step 13: Click on Logout button
[INFO ] [2022-07-11 22:13:59,965] Create New Account - Step 14: Verify Homepage image
[INFO ] [2022-07-11 22:14:05,692] --------------Passed---------------
[INFO ] [2022-07-11 22:14:05,695] Login - Step 1: Click on My Account Link
[INFO ] [2022-07-11 22:14:07,095] Login - Step 2: Input incorrect email into email textbox
[INFO ] [2022-07-11 22:14:07,152] Login - Step 3: Input correct password into password textbox
[INFO ] [2022-07-11 22:14:07,241] Login - Step 4: Click on Login button
[INFO ] [2022-07-11 22:14:08,950] Login - Step 5: Verify error message when inputting incorrect email
[INFO ] [2022-07-11 22:14:08,982] --------------Passed---------------
[INFO ] [2022-07-11 22:14:08,984] Login - Step 1: Click on My Account Link
[INFO ] [2022-07-11 22:14:10,671] Login - Step 2: Input correct email into email textbox
[INFO ] [2022-07-11 22:14:10,715] Login - Step 3: Input incorrect password into password textbox
[INFO ] [2022-07-11 22:14:10,764] Login - Step 4: Click on Login button
[INFO ] [2022-07-11 22:14:12,555] Login - Step 5: Verify error message when inputting incorrect password
[INFO ] [2022-07-11 22:14:12,588] --------------Passed---------------
[INFO ] [2022-07-11 22:14:12,591] Login - Step 1: Click on My Account Link
[INFO ] [2022-07-11 22:14:14,089] Login - Step 2: Input correct email into email textbox
[INFO ] [2022-07-11 22:14:14,137] Login - Step 3: Input correct password into password textbox
[INFO ] [2022-07-11 22:14:14,231] Login - Step 4: Click on Login button
[INFO ] [2022-07-11 22:14:18,486] Login - Step 5: Verify Dashboard title
[INFO ] [2022-07-11 22:14:18,504] --------------Passed---------------
[INFO ] [2022-07-11 22:14:18,505] Login - Step 6: Verify Welcome message
[INFO ] [2022-07-11 22:14:18,515] --------------Passed---------------
[INFO ] [2022-07-11 22:14:18,516] Login - Step 7: Verify Contact information
[INFO ] [2022-07-11 22:14:18,526] --------------Passed---------------
[INFO ] [2022-07-11 22:14:18,535] --------------Passed---------------
[INFO ] [2022-07-11 22:14:18,535] Login - Step 8: Click on Acount button on the header
[INFO ] [2022-07-11 22:14:19,252] Login - Step 9: Click on Logout button
[INFO ] [2022-07-11 22:14:20,632] Login - Step 1: Click on My Account Link
[INFO ] [2022-07-11 22:14:22,053] Login - Step 2: Input correct email into email textbox
[INFO ] [2022-07-11 22:14:22,091] Login - Step 3: Input correct password into password textbox
[INFO ] [2022-07-11 22:14:22,128] Login - Step 4: Click on Login button
[INFO ] [2022-07-11 22:14:23,627] Dashboard - Step 1: Click on Account Information
[INFO ] [2022-07-11 22:14:24,493] Account information - Step 1: Edit first name
